Plot,HeatNum,V1,Year,Diversity,CountOfSpecies,Productivity,SR.plantedspecies,HeatOrd,YearNum,vpdwholeseason2014.neg10,vpdgrowing2014.neg10,vpdMay2014.neg10,meanJunevpd.neg10,meanJulyvpd.neg10,meanAugvpd.neg10,vpdwholeseason2014.neg25,vpdgrowing2014.neg25,vpdMay2014.neg25,meanJunevpd.neg25,meanJulyvpd.neg25,meanAugvpd.neg25
29,1,442,2009,1,10,142.36,1,Control,1,6.14552094166436,6.98419039093276,6.53723001541304,5.89124839798857,8.79845992666571,6.54480434067594,5.74248410671658,6.49351547409327,6.35004122994286,5.91796782881303,8.11748108547024,5.52835188625552
29,1,445,2010,1,4,101.26,1,Control,2,6.14552094166436,6.98419039093276,6.53723001541304,5.89124839798857,8.79845992666571,6.54480434067594,5.74248410671658,6.49351547409327,6.35004122994286,5.91796782881303,8.11748108547024,5.52835188625552
29,1,448,2012,1,12,47.54,1,Control,4,6.14552094166436,6.98419039093276,6.53723001541304,5.89124839798857,8.79845992666571,6.54480434067594,5.74248410671658,6.49351547409327,6.35004122994286,5.91796782881303,8.11748108547024,5.52835188625552
29,1,453,2014,1,9,88.51,1,Control,6,6.14552094166436,6.98419039093276,6.53723001541304,5.89124839798857,8.79845992666571,6.54480434067594,5.74248410671658,6.49351547409327,6.35004122994286,5.91796782881303,8.11748108547024,5.52835188625552
29,1,454,2015,1,20,57.07,1,Control,7,6.14552094166436,6.98419039093276,6.53723001541304,5.89124839798857,8.79845992666571,6.54480434067594,5.74248410671658,6.49351547409327,6.35004122994286,5.91796782881303,8.11748108547024,5.52835188625552
29,1,459,2013,1,3,68.5,1,Control,5,6.14552094166436,6.98419039093276,6.53723001541304,5.89124839798857,8.79845992666571,6.54480434067594,5.74248410671658,6.49351547409327,6.35004122994286,5.91796782881303,8.11748108547024,5.52835188625552
29,1,460,2011,1,11,217.84,1,Control,3,6.14552094166436,6.98419039093276,6.53723001541304,5.89124839798857,8.79845992666571,6.54480434067594,5.74248410671658,6.49351547409327,6.35004122994286,5.91796782881303,8.11748108547024,5.52835188625552
29,2,444,2009,1,17,457.21,1,Low,1,6.88702367717437,7.89030755611674,7.21832473334538,6.3549542711221,10.2361478555776,7.50718405184323,7.29232866857042,8.13372433347917,7.21496126195556,7.08301944848208,9.81332694123656,8.12295831034862
29,2,447,2010,1,12,157.61,1,Low,2,6.88702367717437,7.89030755611674,7.21832473334538,6.3549542711221,10.2361478555776,7.50718405184323,7.29232866857042,8.13372433347917,7.21496126195556,7.08301944848208,9.81332694123656,8.12295831034862
29,2,450,2012,1,11,74.4165,1,Low,4,6.88702367717437,7.89030755611674,7.21832473334538,6.3549542711221,10.2361478555776,7.50718405184323,7.29232866857042,8.13372433347917,7.21496126195556,7.08301944848208,9.81332694123656,8.12295831034862
29,2,452,2013,1,6,88.96,1,Low,5,6.88702367717437,7.89030755611674,7.21832473334538,6.3549542711221,10.2361478555776,7.50718405184323,7.29232866857042,8.13372433347917,7.21496126195556,7.08301944848208,9.81332694123656,8.12295831034862
29,2,456,2015,1,16,118.13,1,Low,7,6.88702367717437,7.89030755611674,7.21832473334538,6.3549542711221,10.2361478555776,7.50718405184323,7.29232866857042,8.13372433347917,7.21496126195556,7.08301944848208,9.81332694123656,8.12295831034862
29,2,458,2011,1,15,250.08,1,Low,3,6.88702367717437,7.89030755611674,7.21832473334538,6.3549542711221,10.2361478555776,7.50718405184323,7.29232866857042,8.13372433347917,7.21496126195556,7.08301944848208,9.81332694123656,8.12295831034862
29,2,462,2014,1,9,109.29,1,Low,6,6.88702367717437,7.89030755611674,7.21832473334538,6.3549542711221,10.2361478555776,7.50718405184323,7.29232866857042,8.13372433347917,7.21496126195556,7.08301944848208,9.81332694123656,8.12295831034862
29,3,443,2009,1,13,158.78,1,High,1,7.38582939141176,8.45960010977655,7.71415584654055,6.74746397560132,10.859548276516,8.24558284034196,8.59000974877495,9.52578181648011,7.7749867495776,7.49508926759321,11.278331060546,10.9809186349453
29,3,446,2010,1,13,154.19,1,High,2,7.38582939141176,8.45960010977655,7.71415584654055,6.74746397560132,10.859548276516,8.24558284034196,8.59000974877495,9.52578181648011,7.7749867495776,7.49508926759321,11.278331060546,10.9809186349453
29,3,449,2012,1,8,106.3468,1,High,4,7.38582939141176,8.45960010977655,7.71415584654055,6.74746397560132,10.859548276516,8.24558284034196,8.59000974877495,9.52578181648011,7.7749867495776,7.49508926759321,11.278331060546,10.9809186349453
29,3,451,2013,1,3,134.92,1,High,5,7.38582939141176,8.45960010977655,7.71415584654055,6.74746397560132,10.859548276516,8.24558284034196,8.59000974877495,9.52578181648011,7.7749867495776,7.49508926759321,11.278331060546,10.9809186349453
29,3,455,2015,1,16,202.58,1,High,7,7.38582939141176,8.45960010977655,7.71415584654055,6.74746397560132,10.859548276516,8.24558284034196,8.59000974877495,9.52578181648011,7.7749867495776,7.49508926759321,11.278331060546,10.9809186349453
29,3,457,2011,1,13,263.26,1,High,3,7.38582939141176,8.45960010977655,7.71415584654055,6.74746397560132,10.859548276516,8.24558284034196,8.59000974877495,9.52578181648011,7.7749867495776,7.49508926759321,11.278331060546,10.9809186349453
29,3,461,2014,1,8,280.24,1,High,6,7.38582939141176,8.45960010977655,7.71415584654055,6.74746397560132,10.859548276516,8.24558284034196,8.59000974877495,9.52578181648011,7.7749867495776,7.49508926759321,11.278331060546,10.9809186349453
